year,movieid,adj,noun
1997,20737,lonely,boy
2007,54318,lonely,boy
2013,204668,lonely,boy
2019,515001,lonely,boy
2020,571384,lonely,boy
2008,14072,lonely,man
2009,22051,lonely,man
2017,396493,lonely,men
1982,123201,long,son
2010,38368,long,son
1991,41781,long,uncle
1994,11593,long-,son
2001,9880,long-absent,father
2009,21191,long-estranged,father
1979,40420,long-lost,brother
1991,20645,long-lost,brother
2020,651881,long-lost,child
1974,42453,long-lost,son
2001,11086,long-lost,son
1975,61703,longstanding-but-married,boyfriend
1988,26355,long-term,boyfriend
2013,212716,longtime,boyfriend
2005,10214,looney,child
1995,43612,lost,husband
1982,123201,lost,son
1988,21185,lost,son
2010,38368,lost,son
1991,41781,lost,uncle
2000,10471,lottery-winner,uncle
1992,619,love-averse,guy
1972,70718,loving,husband
2014,97020,loving,husband
2008,13635,loyal,son
1994,27066,lucky,man
1970,49800,mad,brother
2019,487297,male,colleagues
1992,10241,male,companionship
1982,12614,male,female
1978,85188,malevolent,man
1979,85188,malevolent,man
1987,25155,mannered,man
1971,98050,many,men
1995,9691,marked,man
1971,24349,married,boyfriend
1984,40061,married,boyfriend
2018,467938,married,boyfriend
1971,76200,married,man
1972,42458,married,man
1973,42458,married,man
1974,130647,married,man
1981,116997,married,man
1987,10998,married,man
1991,1713,married,man
2002,12112,married,man
2004,421,married,man
2006,2266,married,man
2011,49520,married,man
2014,250235,married,man
1985,37929,masked,men
1974,1559,masochistic,husband
1985,403587,maternal,grandfather
1987,20473,mechanical,boy
2003,13920,mentally-challenged,man
1979,41377,merciless,brother
1980,41377,merciless,brother
1973,11886,merry,men
1991,27816,merry,men
1990,39062,middle,child
1996,11446,middle,child
1980,60816,middle-aged,husband
1973,5482,middle-aged,man
1974,5482,middle-aged,man
1977,54561,middle-aged,man
1978,115867,middle-aged,man
1979,54663,middle-aged,man
1992,9475,middle-aged,man
1995,39767,middle-aged,man
1997,30020,middle-aged,man
2002,20719,middle-aged,man
2004,43561,middle-aged,man
2004,9675,middle-aged,men
1991,11846,middle-class,man
1987,25155,mild,man
2018,395990,mild-mannered,father
2007,9757,mild-mannered,guy
2001,11178,mild-mannered,man
1976,51857,military,father
2006,9615,military,father
1989,27461,military,man
1995,47018,military,man
1994,24405,military,men
1995,45325,mischievous,boy
1998,45242,mischievous,boy
2015,266647,mischievous,boy
1975,53205,mischievous,brother
1978,11230,mischievous,man
1995,27098,miserable,husband
2001,9398,model,male
2001,9398,model,male
1973,74948,modern,man
1974,74948,modern,man
2006,21427,modest,man
2015,323020,monogamous,father
1984,15239,mop,boy
2006,1164,moroccan,boy
2011,37958,mortal,man
2013,106747,mortal,man
1979,41554,most,man
1993,44562,mourning,son
2003,10159,mouthy,son
1981,64252,much,man
2014,250235,much,man
2015,228205,much,man
2015,181283,murder,child
1976,11558,murdered,man
1995,1408,murderous,uncle
