year,movieid,adj,noun
2008,12163,estranged,daughter
2012,106021,estranged,daughter
2015,254128,estranged,daughter
2016,309886,estranged,daughter
2021,616651,estranged,daughter
1996,11229,estranged,grandmother
1978,91256,estranged,mother
1991,468,estranged,mother
2003,13819,estranged,mother
2004,9953,estranged,mother
2007,13998,estranged,sister
2011,50837,estranged,sister
1976,63071,estranged,wife
1977,63071,estranged,wife
1980,23954,estranged,wife
1981,42150,estranged,wife
1988,562,estranged,wife
2004,421,estranged,wife
2013,205321,estranged,wife
2014,192102,estranged,wife
2015,290637,estranged,wife
2018,416194,estranged,wife
2020,524047,estranged,wife
1994,19155,ethnic,girl
1997,19850,everyday,woman
2021,593910,evil,stepmother
1985,54333,evil,woman
2007,15206,evil-looking,woman
1987,121344,ex,girlfriend
1999,20761,ex,girlfriend
1991,22423,ex,wife
1987,40724,exclusive,girl
2007,13195,executive,female
1995,524,ex-hustler,wife
2014,244267,exotic,woman
2013,149871,exquisite,lady
2002,59387,exuberant,girl
2007,4351,factory,woman
1993,21057,familiar,woman
1998,8545,famous,female
1995,9737,fancy,lady
1982,54989,favorite,woman
2017,457262,favourite,aunt
1986,9377,fed-up,sister
1991,36560,feisty,female
1984,70929,feisty,mother
1977,31402,female,students
1983,23807,fertile,woman
1987,22572,fertile,woman
1988,22572,fertile,woman
1971,78372,fiery,woman
1974,69578,fifteen,girl
2017,468202,fifteen-year-old,girl
1994,50346,fighter,female
1992,41796,film-censor,wife
1982,11915,fine,lady
1983,11050,finicky,woman
2000,27723,first,girl
1987,48686,first,lady
1997,34309,first,lady
1975,104498,first,wife
1975,104498,first,wife
1988,26723,first,wife
1991,40740,first,wife
2018,451915,first,wife
2000,6521,first,woman
1997,8765,fled,girlfriend
2008,14061,flirtatious,wife
1995,9737,foot-loose,lady
2010,41505,forensic,female
1970,2860,former,girlfriend
1983,58614,former,girlfriend
1985,23614,former,girlfriend
1988,20847,former,girlfriend
1991,56975,former,girlfriend
2012,109689,former,girlfriend
1991,47432,former,wife
2012,121826,former,wife
2004,9806,formerly,wife
2010,44147,formidable,mother
2002,10855,forty,girl
2018,499726,forty-year-old,woman
2000,27723,foul-speaking,girl
2003,32293,four-member,girl
2017,451955,fragile,woman
1990,771,frantic,mother
1995,9737,free,lady
1975,40180,free,woman
1978,68635,freedom-fighters,female
2014,239678,free-speaking,mother
1974,35275,free-spirited,aunt
2003,8046,free-spirited,female
1973,40374,free-spirited,woman
1986,11300,free-spirited,woman
2003,10739,free-spirited,woman
2016,369885,french,female
1971,84896,french,girl
1980,166,french,girl
1998,35680,french,girl
2008,19173,french,girl
1981,33310,french,wife
1994,109,french,wife
1973,70781,french,woman
1976,143499,french,woman
1981,157160,french,woman
1988,41951,french,woman
1991,1600,french,woman
2006,300,french,woman
2010,48303,french,woman
2011,81342,french,woman
1989,85925,friend,lady
2009,24238,friendless,girl
2020,526019,friends,female
1970,64651,friends,girl
1970,87503,frightened,girl
1970,89199,frustrated,girlfriend
1971,63025,frustrated,wife
1980,186411,frustrated,wife
1982,8288,frustrated,wife
2009,20048,fun-loving,girl
1996,37563,further,lady
1984,11495,future,wife
1988,859,future,wife
1989,30666,future,wife
1994,2778,future,wife
2003,17473,future,wife
1972,113012,generous,wife
1973,113012,generous,wife
1974,706,german,girl
